SEQUENCE,CLASSIFICATION
SRR20766474.4547.1,Non-viral
SRR20766474.4553.1,Non-viral
SRR20766474.4555.1,Non-viral
SRR20766474.4558.1,Non-viral
SRR20766474.4559.1,Non-viral
SRR20766474.4561.1,Non-viral
SRR20766474.4568.1,Non-viral
SRR20766474.4569.1,Non-viral
SRR20766474.4570.1,Non-viral
SRR20766474.4571.1,Non-viral
SRR20766474.4572.1,Non-viral
SRR20766474.4573.1,Non-viral
SRR20766474.4575.1,Non-viral
SRR20766474.4580.1,Non-viral
SRR20766474.4583.1,Non-viral
SRR20766474.4584.1,Non-viral
SRR20766474.4596.1,Non-viral
SRR20766474.4597.1,Non-viral
SRR20766474.4598.1,Non-viral
SRR20766474.4600.1,Non-viral
SRR20766474.4605.1,Non-viral
SRR20766474.4607.1,Non-viral
SRR20766474.4608.1,Non-viral
SRR20766474.4610.1,Non-viral
SRR20766474.4614.1,Non-viral
SRR20766474.4616.1,Non-viral
SRR20766474.4617.1,Non-viral
SRR20766474.4623.1,Non-viral
SRR20766474.4624.1,Non-viral
SRR20766474.4629.1,Non-viral
SRR20766474.4633.1,Non-viral
SRR20766474.4637.1,Non-viral
SRR20766474.4639.1,Non-viral
SRR20766474.4641.1,Non-viral
SRR20766474.4642.1,Non-viral
SRR20766474.4646.1,Non-viral
SRR20766474.4650.1,Non-viral
SRR20766474.4652.1,Non-viral
SRR20766474.4653.1,Non-viral
SRR20766474.4655.1,Non-viral
SRR20766474.4656.1,Non-viral
SRR20766474.4657.1,Non-viral
SRR20766474.4659.1,Non-viral
SRR20766474.4666.1,Non-viral
SRR20766474.4667.1,Non-viral
SRR20766474.4672.1,Non-viral
SRR20766474.4676.1,Non-viral
SRR20766474.4681.1,Non-viral
SRR20766474.4683.1,Non-viral
SRR20766474.4684.1,Non-viral
SRR20766474.4691.1,Non-viral
SRR20766474.4695.1,Non-viral
SRR20766474.4698.1,Non-viral
SRR20766474.4699.1,Non-viral
SRR20766474.4700.1,Non-viral
SRR20766474.4702.1,Non-viral
SRR20766474.4703.1,Non-viral
SRR20766474.4708.1,Non-viral
SRR20766474.4714.1,Non-viral
SRR20766474.4717.1,Non-viral
SRR20766474.4721.1,Non-viral
SRR20766474.4722.1,Non-viral
SRR20766474.4723.1,Non-viral
SRR20766474.4724.1,Non-viral
SRR20766474.4728.1,Non-viral
SRR20766474.4731.1,Non-viral
SRR20766474.4734.1,Non-viral
SRR20766474.4736.1,Non-viral
SRR20766474.4739.1,Non-viral
SRR20766474.4741.1,Non-viral
SRR20766474.4747.1,Non-viral
SRR20766474.4749.1,Non-viral
SRR20766474.4750.1,Non-viral
SRR20766474.4754.1,Non-viral
SRR20766474.4757.1,Non-viral
SRR20766474.4760.1,Non-viral
SRR20766474.4768.1,Non-viral
SRR20766474.4769.1,Non-viral
SRR20766474.4772.1,Non-viral
SRR20766474.4774.1,Non-viral
SRR20766474.4775.1,Non-viral
SRR20766474.4776.1,Non-viral
SRR20766474.4780.1,Non-viral
SRR20766474.4787.1,Non-viral
SRR20766474.4789.1,Non-viral
SRR20766474.4795.1,Non-viral
SRR20766474.4796.1,Non-viral
SRR20766474.4797.1,Non-viral
SRR20766474.4798.1,Non-viral
SRR20766474.4802.1,Non-viral
SRR20766474.4804.1,Non-viral
SRR20766474.4812.1,Non-viral
SRR20766474.4813.1,Non-viral
SRR20766474.4814.1,Non-viral
SRR20766474.4816.1,Non-viral
SRR20766474.4817.1,Non-viral
SRR20766474.4818.1,Non-viral
SRR20766474.4821.1,Non-viral
SRR20766474.4823.1,Non-viral
SRR20766474.4825.1,Non-viral
SRR20766474.4826.1,Non-viral
SRR20766474.4827.1,Non-viral
SRR20766474.4828.1,Non-viral
SRR20766474.4829.1,Non-viral
SRR20766474.4835.1,Non-viral
SRR20766474.4836.1,Non-viral
SRR20766474.4839.1,Non-viral
SRR20766474.4842.1,Non-viral
SRR20766474.4843.1,Non-viral
SRR20766474.4845.1,Non-viral
SRR20766474.4848.1,Non-viral
SRR20766474.4849.1,Non-viral
SRR20766474.4851.1,Non-viral
SRR20766474.4853.1,Non-viral
SRR20766474.4854.1,Non-viral
SRR20766474.4855.1,Non-viral
SRR20766474.4856.1,Non-viral
SRR20766474.4858.1,Non-viral
SRR20766474.4862.1,Non-viral
SRR20766474.4871.1,Non-viral
SRR20766474.4874.1,Non-viral
SRR20766474.4875.1,Non-viral
SRR20766474.4876.1,Non-viral
SRR20766474.4878.1,Non-viral
SRR20766474.4881.1,Non-viral
SRR20766474.4886.1,Non-viral
SRR20766474.4888.1,Non-viral
SRR20766474.4889.1,Non-viral
SRR20766474.4895.1,Non-viral
SRR20766474.4900.1,Non-viral
SRR20766474.4905.1,Non-viral
SRR20766474.4907.1,Non-viral
SRR20766474.4910.1,Non-viral
SRR20766474.4911.1,Non-viral
SRR20766474.4917.1,Non-viral
SRR20766474.4919.1,Non-viral
SRR20766474.4922.1,Non-viral
SRR20766474.4923.1,Non-viral
SRR20766474.4924.1,Non-viral
SRR20766474.4932.1,Non-viral
SRR20766474.4933.1,Non-viral
SRR20766474.4934.1,Non-viral
SRR20766474.4938.1,Non-viral
SRR20766474.4951.1,Non-viral
SRR20766474.4955.1,Non-viral
SRR20766474.4956.1,Non-viral
SRR20766474.4957.1,Non-viral
SRR20766474.4963.1,Non-viral
SRR20766474.4964.1,Non-viral
SRR20766474.4966.1,Non-viral
SRR20766474.4968.1,Non-viral
SRR20766474.4969.1,Non-viral
SRR20766474.4971.1,Non-viral
SRR20766474.4977.1,Non-viral
SRR20766474.4979.1,Non-viral
SRR20766474.4980.1,Non-viral
SRR20766474.4984.1,Non-viral
SRR20766474.4991.1,Non-viral
SRR20766474.4995.1,Non-viral
SRR20766474.5001.1,Non-viral
SRR20766474.5005.1,Non-viral
SRR20766474.5006.1,Non-viral
SRR20766474.5007.1,Non-viral
SRR20766474.5008.1,Non-viral
SRR20766474.5010.1,Non-viral
SRR20766474.5011.1,Non-viral
SRR20766474.5012.1,Non-viral
SRR20766474.5013.1,Non-viral
SRR20766474.5014.1,Non-viral
SRR20766474.5020.1,Non-viral
SRR20766474.5022.1,Non-viral
SRR20766474.5024.1,Non-viral
SRR20766474.5027.1,Non-viral
SRR20766474.5028.1,Non-viral
SRR20766474.5031.1,Non-viral
SRR20766474.5036.1,Non-viral
SRR20766474.5037.1,Non-viral
SRR20766474.5039.1,Non-viral
SRR20766474.5041.1,Non-viral
SRR20766474.5042.1,Non-viral
SRR20766474.5049.1,Non-viral
SRR20766474.5050.1,Non-viral
SRR20766474.5055.1,Non-viral
SRR20766474.5056.1,Non-viral
SRR20766474.5058.1,Non-viral
SRR20766474.5059.1,Non-viral
SRR20766474.5060.1,Non-viral
SRR20766474.5061.1,Non-viral
SRR20766474.5063.1,Non-viral
SRR20766474.5064.1,Non-viral
SRR20766474.5067.1,Non-viral
SRR20766474.5069.1,Non-viral
SRR20766474.5075.1,Non-viral
SRR20766474.5080.1,Non-viral
SRR20766474.5083.1,Non-viral
SRR20766474.5084.1,Non-viral
SRR20766474.5085.1,Non-viral
SRR20766474.5086.1,Non-viral
SRR20766474.5087.1,Non-viral
SRR20766474.5088.1,Non-viral
SRR20766474.5089.1,Non-viral
SRR20766474.5091.1,Non-viral
SRR20766474.5094.1,Non-viral
SRR20766474.5098.1,Non-viral
SRR20766474.5102.1,Non-viral
SRR20766474.5105.1,Non-viral
SRR20766474.5110.1,Non-viral
SRR20766474.5112.1,Non-viral
SRR20766474.5114.1,Non-viral
SRR20766474.5115.1,Non-viral
SRR20766474.5116.1,Non-viral
SRR20766474.5117.1,Non-viral
SRR20766474.5118.1,Non-viral
SRR20766474.5120.1,Non-viral
SRR20766474.5125.1,Non-viral
SRR20766474.5126.1,Non-viral
SRR20766474.5128.1,Non-viral
SRR20766474.5129.1,Non-viral
SRR20766474.5130.1,Non-viral
SRR20766474.5131.1,Non-viral
SRR20766474.5133.1,Non-viral
SRR20766474.5134.1,Non-viral
SRR20766474.5136.1,Non-viral
SRR20766474.5146.1,Non-viral
SRR20766474.5150.1,Non-viral
SRR20766474.5152.1,Non-viral
SRR20766474.5153.1,Non-viral
SRR20766474.5156.1,Non-viral
SRR20766474.5159.1,Non-viral
SRR20766474.5163.1,Non-viral
SRR20766474.5170.1,Non-viral
SRR20766474.5171.1,Non-viral
SRR20766474.5172.1,Non-viral
SRR20766474.5173.1,Non-viral
SRR20766474.5177.1,Non-viral
SRR20766474.5179.1,Non-viral
SRR20766474.5181.1,Non-viral
SRR20766474.5182.1,Non-viral
SRR20766474.5183.1,Non-viral
SRR20766474.5184.1,Non-viral
SRR20766474.5186.1,Non-viral
SRR20766474.5190.1,Non-viral
SRR20766474.5193.1,Non-viral
SRR20766474.5197.1,Non-viral
SRR20766474.5200.1,Non-viral
SRR20766474.5202.1,Non-viral
SRR20766474.5203.1,Non-viral
SRR20766474.5204.1,Non-viral
SRR20766474.5213.1,Non-viral
SRR20766474.5215.1,Non-viral
SRR20766474.5218.1,Non-viral
SRR20766474.5222.1,Non-viral
SRR20766474.5223.1,Non-viral
SRR20766474.5225.1,Non-viral
SRR20766474.5228.1,Non-viral
SRR20766474.5230.1,Non-viral
SRR20766474.5231.1,Non-viral
SRR20766474.5233.1,Non-viral
SRR20766474.5234.1,Non-viral
SRR20766474.5235.1,Non-viral
SRR20766474.5239.1,Non-viral
SRR20766474.5243.1,Non-viral
SRR20766474.5246.1,Non-viral
SRR20766474.5248.1,Non-viral
SRR20766474.5249.1,Non-viral
SRR20766474.5251.1,Non-viral
SRR20766474.5256.1,Non-viral
SRR20766474.5258.1,Non-viral
SRR20766474.5259.1,Non-viral
SRR20766474.5263.1,Non-viral
SRR20766474.5264.1,Non-viral
SRR20766474.5266.1,Non-viral
SRR20766474.5267.1,Non-viral
SRR20766474.5268.1,Non-viral
SRR20766474.5271.1,Non-viral
SRR20766474.5272.1,Non-viral
SRR20766474.5273.1,Non-viral
SRR20766474.5275.1,Non-viral
SRR20766474.5276.1,Non-viral
SRR20766474.5278.1,Non-viral
SRR20766474.5287.1,Non-viral
SRR20766474.5292.1,Non-viral
SRR20766474.5299.1,Non-viral
SRR20766474.5302.1,Non-viral
SRR20766474.5315.1,Non-viral
SRR20766474.5319.1,Non-viral
SRR20766474.5321.1,Non-viral
SRR20766474.5322.1,Non-viral
SRR20766474.5323.1,Non-viral
SRR20766474.5325.1,Non-viral
SRR20766474.5329.1,Non-viral
SRR20766474.5331.1,Non-viral
SRR20766474.5332.1,Non-viral
SRR20766474.5333.1,Non-viral
SRR20766474.5341.1,Non-viral
SRR20766474.5344.1,Non-viral
SRR20766474.5345.1,Non-viral
SRR20766474.5347.1,Non-viral
SRR20766474.5348.1,Non-viral
SRR20766474.5351.1,Non-viral
SRR20766474.5362.1,Non-viral
SRR20766474.5364.1,Non-viral
SRR20766474.5370.1,Non-viral
SRR20766474.5371.1,Non-viral
SRR20766474.5379.1,Non-viral
SRR20766474.5380.1,Non-viral
SRR20766474.5381.1,Non-viral
SRR20766474.5389.1,Non-viral
SRR20766474.5390.1,Non-viral
SRR20766474.5394.1,Non-viral
SRR20766474.5398.1,Non-viral
SRR20766474.5403.1,Non-viral
SRR20766474.5404.1,Non-viral
SRR20766474.5413.1,Non-viral
SRR20766474.5418.1,Non-viral
SRR20766474.5419.1,Non-viral
SRR20766474.5424.1,Non-viral
SRR20766474.5430.1,Non-viral
SRR20766474.5432.1,Non-viral
SRR20766474.5433.1,Non-viral
SRR20766474.5438.1,Non-viral
SRR20766474.5440.1,Non-viral
SRR20766474.5441.1,Non-viral
SRR20766474.5444.1,Non-viral
SRR20766474.5445.1,Non-viral
SRR20766474.5449.1,Non-viral
SRR20766474.5451.1,Non-viral
SRR20766474.5452.1,Non-viral
SRR20766474.5453.1,Non-viral
SRR20766474.5455.1,Non-viral
SRR20766474.5461.1,Non-viral
SRR20766474.5463.1,Non-viral
SRR20766474.5465.1,Non-viral
SRR20766474.5468.1,Non-viral
SRR20766474.5470.1,Non-viral
SRR20766474.5479.1,Non-viral
SRR20766474.5484.1,Non-viral
SRR20766474.5485.1,Non-viral
SRR20766474.5487.1,Non-viral
SRR20766474.5491.1,Non-viral
SRR20766474.5492.1,Non-viral
SRR20766474.5499.1,Non-viral
SRR20766474.5500.1,Non-viral
SRR20766474.5501.1,Non-viral
SRR20766474.5503.1,Non-viral
SRR20766474.5505.1,Non-viral
SRR20766474.5507.1,Non-viral
SRR20766474.5508.1,Non-viral
SRR20766474.5513.1,Non-viral
SRR20766474.5516.1,Non-viral
SRR20766474.5519.1,Non-viral
SRR20766474.5520.1,Non-viral
SRR20766474.5522.1,Non-viral
SRR20766474.5526.1,Non-viral
SRR20766474.5527.1,Non-viral
SRR20766474.5529.1,Non-viral
SRR20766474.5530.1,Non-viral
SRR20766474.5532.1,Non-viral
SRR20766474.5538.1,Non-viral
SRR20766474.5539.1,Non-viral
SRR20766474.5541.1,Non-viral
SRR20766474.5543.1,Non-viral
SRR20766474.5546.1,Non-viral
SRR20766474.5547.1,Non-viral
SRR20766474.5548.1,Non-viral
SRR20766474.5552.1,Non-viral
SRR20766474.5557.1,Non-viral
SRR20766474.5558.1,Non-viral
SRR20766474.5562.1,Non-viral
SRR20766474.5565.1,Non-viral
SRR20766474.5566.1,Non-viral
SRR20766474.5567.1,Non-viral
SRR20766474.5568.1,Non-viral
SRR20766474.5569.1,Non-viral
SRR20766474.5571.1,Non-viral
SRR20766474.5572.1,Non-viral
SRR20766474.5573.1,Non-viral
SRR20766474.5578.1,Non-viral
SRR20766474.5580.1,Non-viral
SRR20766474.5587.1,Non-viral
SRR20766474.5596.1,Non-viral
SRR20766474.5598.1,Non-viral
SRR20766474.5602.1,Non-viral
SRR20766474.5612.1,Non-viral
SRR20766474.5618.1,Non-viral
SRR20766474.5626.1,Non-viral
SRR20766474.5627.1,Non-viral
SRR20766474.5632.1,Non-viral
SRR20766474.5633.1,Non-viral
SRR20766474.5635.1,Non-viral
SRR20766474.5637.1,Non-viral
SRR20766474.5638.1,Non-viral
SRR20766474.5642.1,Non-viral
SRR20766474.5645.1,Non-viral
SRR20766474.5646.1,Non-viral
SRR20766474.5647.1,Non-viral
SRR20766474.5648.1,Non-viral
SRR20766474.5649.1,Non-viral
SRR20766474.5652.1,Non-viral
SRR20766474.5653.1,Non-viral
SRR20766474.5655.1,Non-viral
SRR20766474.5658.1,Non-viral
SRR20766474.5666.1,Non-viral
SRR20766474.5667.1,Non-viral
SRR20766474.5671.1,Non-viral
SRR20766474.5672.1,Non-viral
SRR20766474.5680.1,Non-viral
SRR20766474.5683.1,Non-viral
SRR20766474.5684.1,Non-viral
SRR20766474.5687.1,Non-viral
SRR20766474.5689.1,Non-viral
SRR20766474.5697.1,Non-viral
SRR20766474.5698.1,Non-viral
SRR20766474.5709.1,Non-viral
SRR20766474.5710.1,Non-viral
SRR20766474.5713.1,Non-viral
SRR20766474.5716.1,Non-viral
SRR20766474.5717.1,Non-viral
SRR20766474.5722.1,Non-viral
SRR20766474.5732.1,Non-viral
SRR20766474.5733.1,Non-viral
SRR20766474.5735.1,Non-viral
SRR20766474.5738.1,Non-viral
SRR20766474.5739.1,Non-viral
SRR20766474.5740.1,Non-viral
SRR20766474.5741.1,Non-viral
SRR20766474.5742.1,Non-viral
SRR20766474.5743.1,Non-viral
SRR20766474.5744.1,Non-viral
SRR20766474.5747.1,Non-viral
SRR20766474.5751.1,Non-viral
SRR20766474.5753.1,Non-viral
SRR20766474.5754.1,Non-viral
SRR20766474.5755.1,Non-viral
SRR20766474.5757.1,Non-viral
SRR20766474.5759.1,Non-viral
SRR20766474.5760.1,Non-viral
SRR20766474.5761.1,Non-viral
SRR20766474.5763.1,Non-viral
SRR20766474.5766.1,Non-viral
SRR20766474.5770.1,Non-viral
SRR20766474.5780.1,Non-viral
SRR20766474.5781.1,Non-viral
SRR20766474.5786.1,Non-viral
SRR20766474.5787.1,Non-viral
SRR20766474.5798.1,Non-viral
SRR20766474.5799.1,Non-viral
SRR20766474.5800.1,Non-viral
SRR20766474.5802.1,Non-viral
SRR20766474.5803.1,Non-viral
SRR20766474.5804.1,Non-viral
SRR20766474.5805.1,Non-viral
SRR20766474.5806.1,Non-viral
SRR20766474.5809.1,Non-viral
SRR20766474.5812.1,Non-viral
SRR20766474.5815.1,Non-viral
SRR20766474.5817.1,Non-viral
SRR20766474.5819.1,Non-viral
SRR20766474.5820.1,Non-viral
SRR20766474.5821.1,Non-viral
SRR20766474.5823.1,Non-viral
SRR20766474.5825.1,Non-viral
SRR20766474.5831.1,Non-viral
SRR20766474.5833.1,Non-viral
SRR20766474.5838.1,Non-viral
SRR20766474.5839.1,Non-viral
SRR20766474.5842.1,Non-viral
SRR20766474.5849.1,Non-viral
SRR20766474.5852.1,Non-viral
SRR20766474.5853.1,Non-viral
SRR20766474.5855.1,Non-viral
SRR20766474.5856.1,Non-viral
SRR20766474.5857.1,Non-viral
SRR20766474.5859.1,Non-viral
SRR20766474.5860.1,Non-viral
SRR20766474.5862.1,Non-viral
SRR20766474.5863.1,Non-viral
SRR20766474.5864.1,Non-viral
SRR20766474.5866.1,Non-viral
SRR20766474.5868.1,Non-viral
SRR20766474.5869.1,Non-viral
SRR20766474.5870.1,Non-viral
SRR20766474.5872.1,Non-viral
SRR20766474.5879.1,Non-viral
SRR20766474.5882.1,Non-viral
SRR20766474.5884.1,Non-viral
SRR20766474.5886.1,Non-viral
SRR20766474.5887.1,Non-viral
SRR20766474.5890.1,Non-viral
SRR20766474.5891.1,Non-viral
SRR20766474.5892.1,Non-viral
SRR20766474.5893.1,Non-viral
SRR20766474.5899.1,Non-viral
SRR20766474.5904.1,Non-viral
SRR20766474.5905.1,Non-viral
SRR20766474.5919.1,Non-viral
SRR20766474.5922.1,Non-viral
SRR20766474.5923.1,Non-viral
SRR20766474.5926.1,Non-viral
SRR20766474.5927.1,Non-viral
SRR20766474.5928.1,Non-viral
SRR20766474.5929.1,Non-viral
SRR20766474.5936.1,Non-viral
SRR20766474.5937.1,Non-viral
SRR20766474.5939.1,Non-viral
SRR20766474.5942.1,Non-viral
SRR20766474.5944.1,Non-viral
SRR20766474.5946.1,Non-viral
SRR20766474.5949.1,Non-viral
SRR20766474.5951.1,Non-viral
SRR20766474.5954.1,Non-viral
SRR20766474.5957.1,Non-viral
SRR20766474.5958.1,Non-viral
SRR20766474.5959.1,Non-viral
SRR20766474.5960.1,Non-viral
SRR20766474.5961.1,Non-viral
SRR20766474.5970.1,Non-viral
SRR20766474.5972.1,Non-viral
SRR20766474.5977.1,Non-viral
SRR20766474.5979.1,Non-viral
SRR20766474.5981.1,Non-viral
SRR20766474.5984.1,Non-viral
SRR20766474.5985.1,Non-viral
SRR20766474.5992.1,Non-viral
SRR20766474.5993.1,Non-viral
SRR20766474.5995.1,Non-viral
SRR20766474.5997.1,Non-viral
SRR20766474.6001.1,Non-viral
SRR20766474.6002.1,Non-viral
SRR20766474.6005.1,Non-viral
SRR20766474.6007.1,Non-viral
SRR20766474.6012.1,Non-viral
SRR20766474.6017.1,Non-viral
SRR20766474.6022.1,Non-viral
SRR20766474.6033.1,Non-viral
SRR20766474.6038.1,Non-viral
SRR20766474.6040.1,Non-viral
SRR20766474.6055.1,Non-viral
SRR20766474.6061.1,Non-viral
SRR20766474.6062.1,Non-viral
SRR20766474.6064.1,Non-viral
SRR20766474.6065.1,Non-viral
SRR20766474.6069.1,Non-viral
SRR20766474.6072.1,Non-viral
SRR20766474.6074.1,Non-viral
SRR20766474.6075.1,Non-viral
SRR20766474.6076.1,Non-viral
SRR20766474.6077.1,Non-viral
SRR20766474.6078.1,Non-viral
SRR20766474.6081.1,Non-viral
SRR20766474.6083.1,Non-viral
SRR20766474.6085.1,Non-viral
SRR20766474.6087.1,Non-viral
SRR20766474.6088.1,Non-viral
SRR20766474.6093.1,Non-viral
SRR20766474.6095.1,Non-viral
SRR20766474.6098.1,Non-viral
SRR20766474.6102.1,Non-viral
SRR20766474.6104.1,Non-viral
SRR20766474.6107.1,Non-viral
SRR20766474.6111.1,Non-viral
SRR20766474.6115.1,Non-viral
SRR20766474.6121.1,Non-viral
SRR20766474.6124.1,Non-viral
SRR20766474.6126.1,Non-viral
SRR20766474.6136.1,Non-viral
SRR20766474.6141.1,Non-viral
SRR20766474.6144.1,Non-viral
SRR20766474.6149.1,Non-viral
SRR20766474.6150.1,Non-viral
SRR20766474.6151.1,Non-viral
SRR20766474.6157.1,Non-viral
SRR20766474.6162.1,Non-viral
SRR20766474.6163.1,Non-viral
SRR20766474.6164.1,Non-viral
SRR20766474.6165.1,Non-viral
SRR20766474.6166.1,Non-viral
SRR20766474.6168.1,Non-viral
SRR20766474.6169.1,Non-viral
SRR20766474.6175.1,Non-viral
SRR20766474.6176.1,Non-viral
SRR20766474.6178.1,Non-viral
SRR20766474.6179.1,Non-viral
SRR20766474.6181.1,Non-viral
SRR20766474.6187.1,Non-viral
SRR20766474.6191.1,Non-viral
SRR20766474.6195.1,Non-viral
SRR20766474.6201.1,Non-viral
SRR20766474.6203.1,Non-viral
SRR20766474.6208.1,Non-viral
SRR20766474.6212.1,Non-viral
SRR20766474.6213.1,Non-viral
SRR20766474.6221.1,Non-viral
SRR20766474.6222.1,Non-viral
SRR20766474.6225.1,Non-viral
SRR20766474.6226.1,Non-viral
SRR20766474.6228.1,Non-viral
SRR20766474.6232.1,Non-viral
SRR20766474.6236.1,Non-viral
SRR20766474.6239.1,Non-viral
SRR20766474.6240.1,Non-viral
SRR20766474.6241.1,Non-viral
SRR20766474.6243.1,Non-viral
SRR20766474.6248.1,Non-viral
SRR20766474.6250.1,Non-viral
SRR20766474.6251.1,Non-viral
SRR20766474.6254.1,Non-viral
SRR20766474.6256.1,Non-viral
SRR20766474.6261.1,Non-viral
SRR20766474.6265.1,Non-viral
SRR20766474.6269.1,Non-viral
SRR20766474.6270.1,Non-viral
SRR20766474.6272.1,Non-viral
SRR20766474.6273.1,Non-viral
SRR20766474.6275.1,Non-viral
SRR20766474.6277.1,Non-viral
SRR20766474.6278.1,Non-viral
SRR20766474.6281.1,Non-viral
SRR20766474.6282.1,Non-viral
SRR20766474.6283.1,Non-viral
SRR20766474.6284.1,Non-viral
SRR20766474.6286.1,Non-viral
SRR20766474.6288.1,Non-viral
SRR20766474.6295.1,Non-viral
SRR20766474.6296.1,Non-viral
SRR20766474.6299.1,Non-viral
SRR20766474.6305.1,Non-viral
SRR20766474.6309.1,Non-viral
SRR20766474.6311.1,Non-viral
SRR20766474.6324.1,Non-viral
SRR20766474.6337.1,Non-viral
SRR20766474.6340.1,Non-viral
SRR20766474.6343.1,Non-viral
SRR20766474.6348.1,Non-viral
SRR20766474.6352.1,Non-viral
SRR20766474.6353.1,Non-viral
SRR20766474.6356.1,Non-viral
SRR20766474.6360.1,Non-viral
SRR20766474.6361.1,Non-viral
SRR20766474.6362.1,Non-viral
SRR20766474.6367.1,Non-viral
SRR20766474.6368.1,Non-viral
SRR20766474.6369.1,Non-viral
SRR20766474.6370.1,Non-viral
SRR20766474.6371.1,Non-viral
SRR20766474.6374.1,Non-viral
SRR20766474.6376.1,Non-viral
SRR20766474.6379.1,Non-viral
SRR20766474.6380.1,Non-viral
SRR20766474.6384.1,Non-viral
SRR20766474.6389.1,Non-viral
SRR20766474.6390.1,Non-viral
SRR20766474.6392.1,Non-viral
SRR20766474.6393.1,Non-viral
SRR20766474.6394.1,Non-viral
SRR20766474.6401.1,Non-viral
SRR20766474.6402.1,Non-viral
SRR20766474.6405.1,Non-viral
SRR20766474.6408.1,Non-viral
SRR20766474.6414.1,Non-viral
SRR20766474.6418.1,Non-viral
SRR20766474.6421.1,Non-viral
SRR20766474.6425.1,Non-viral
SRR20766474.6426.1,Non-viral
SRR20766474.6429.1,Non-viral
SRR20766474.6430.1,Non-viral
SRR20766474.6431.1,Non-viral
SRR20766474.6435.1,Non-viral
SRR20766474.6436.1,Non-viral
SRR20766474.6438.1,Non-viral
SRR20766474.6443.1,Non-viral
SRR20766474.6451.1,Non-viral
SRR20766474.6454.1,Non-viral
SRR20766474.6457.1,Non-viral
SRR20766474.6458.1,Non-viral
SRR20766474.6461.1,Non-viral
SRR20766474.6462.1,Non-viral
SRR20766474.6464.1,Non-viral
SRR20766474.6468.1,Non-viral
SRR20766474.6469.1,Non-viral
SRR20766474.6470.1,Non-viral
SRR20766474.6474.1,Non-viral
SRR20766474.6479.1,Non-viral
SRR20766474.6483.1,Non-viral
SRR20766474.6484.1,Non-viral
SRR20766474.6485.1,Non-viral
SRR20766474.6488.1,Non-viral
SRR20766474.6491.1,Non-viral
SRR20766474.6494.1,Non-viral
SRR20766474.6495.1,Non-viral
SRR20766474.6496.1,Non-viral
SRR20766474.6501.1,Non-viral
SRR20766474.6503.1,Non-viral
SRR20766474.6507.1,Non-viral
SRR20766474.6515.1,Non-viral
SRR20766474.6516.1,Non-viral
SRR20766474.6519.1,Non-viral
SRR20766474.6520.1,Non-viral
SRR20766474.6521.1,Non-viral
SRR20766474.6523.1,Non-viral
SRR20766474.6526.1,Non-viral
SRR20766474.6531.1,Non-viral
SRR20766474.6533.1,Non-viral
SRR20766474.6537.1,Non-viral
SRR20766474.6538.1,Non-viral
SRR20766474.6539.1,Non-viral
SRR20766474.6540.1,Non-viral
SRR20766474.6541.1,Non-viral
SRR20766474.6547.1,Non-viral
SRR20766474.6550.1,Non-viral
SRR20766474.6553.1,Non-viral
SRR20766474.6558.1,Non-viral
SRR20766474.6565.1,Non-viral
SRR20766474.6570.1,Non-viral
SRR20766474.6571.1,Non-viral
SRR20766474.6573.1,Non-viral
SRR20766474.6575.1,Non-viral
SRR20766474.6577.1,Non-viral
SRR20766474.6582.1,Non-viral
SRR20766474.6583.1,Non-viral
SRR20766474.6584.1,Non-viral
SRR20766474.6589.1,Non-viral
SRR20766474.6593.1,Non-viral
SRR20766474.6594.1,Non-viral
SRR20766474.6595.1,Non-viral
SRR20766474.6597.1,Non-viral
SRR20766474.6610.1,Non-viral
SRR20766474.6612.1,Non-viral
SRR20766474.6613.1,Non-viral
SRR20766474.6615.1,Non-viral
SRR20766474.6618.1,Non-viral
SRR20766474.6622.1,Non-viral
SRR20766474.6623.1,Non-viral
SRR20766474.6624.1,Non-viral
SRR20766474.6631.1,Non-viral
SRR20766474.6633.1,Non-viral
SRR20766474.6635.1,Non-viral
SRR20766474.6639.1,Non-viral
SRR20766474.6640.1,Non-viral
SRR20766474.6641.1,Non-viral
SRR20766474.6642.1,Non-viral
SRR20766474.6644.1,Non-viral
SRR20766474.6650.1,Non-viral
SRR20766474.6652.1,Non-viral
SRR20766474.6653.1,Non-viral
SRR20766474.6654.1,Non-viral
SRR20766474.6663.1,Non-viral
SRR20766474.6664.1,Non-viral
SRR20766474.6665.1,Non-viral
SRR20766474.6669.1,Non-viral
SRR20766474.6670.1,Non-viral
SRR20766474.6674.1,Non-viral
SRR20766474.6675.1,Non-viral
SRR20766474.6679.1,Non-viral
SRR20766474.6684.1,Non-viral
SRR20766474.6687.1,Non-viral
SRR20766474.6694.1,Non-viral
SRR20766474.6695.1,Non-viral
SRR20766474.6698.1,Non-viral
SRR20766474.6700.1,Non-viral
SRR20766474.6702.1,Non-viral
SRR20766474.6706.1,Non-viral
SRR20766474.6709.1,Non-viral
SRR20766474.6711.1,Non-viral
SRR20766474.6713.1,Non-viral
SRR20766474.6716.1,Non-viral
SRR20766474.6718.1,Non-viral
SRR20766474.6719.1,Non-viral
SRR20766474.6720.1,Non-viral
SRR20766474.6723.1,Non-viral
SRR20766474.6730.1,Non-viral
SRR20766474.6731.1,Non-viral
SRR20766474.6732.1,Non-viral
SRR20766474.6738.1,Non-viral
SRR20766474.6739.1,Non-viral
SRR20766474.6740.1,Non-viral
